generated_at,cio_stance,macro_regime,market_leadership,market_transition,market_breadth,priority_watch_candidates,deploy_candidates,monitor_candidates,reject_candidates
2026-05-13 18:40:23,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-13 18:43:43,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-13 19:24:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 03:37:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 15:56:49,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 16:13:52,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 16:31:40,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 16:58:52,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 17:17:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 17:40:51,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 17:49:03,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 17:59:29,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 18:09:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 18:22:28,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 18:29:12,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 18:55:55,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 18:59:34,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-14 19:19:08,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 03:36:56,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
2026-05-15 11:44:06,defensive_monitoring,crypto_outperformance,crypto_leading,expansion,risk_on,0,0,2,0
