asset,usdt_symbol,usdt_current_state,usdt_color_age_days,usdt_flip,btc_symbol,btc_current_state,btc_color_age_days,btc_flip,score,score_tier,market_cap_rank,reason,usdt_tradingview_link,btc_tradingview_link
AT,ATUSDT,Blue,1,Yes,,,,No,85,A+ Strong,628,"Valid confirmed trend flip — small-cap potential, small-cap high risk, fresh signal, clean transition",https://www.tradingview.com/chart/?symbol=ATUSDT,
ONT,ONTUSDT,Gold,1,Yes,ONTBTC,Blue,60,No,74,A Good,416,"Valid confirmed trend flip — small-cap potential, small-cap high risk, fresh signal",https://www.tradingview.com/chart/?symbol=ONTUSDT,https://www.tradingview.com/chart/?symbol=ONTBTC
ORCA,ORCAUSDT,Gold,1,Yes,,,,No,74,A Good,315,"Valid confirmed trend flip — small-cap potential, small-cap high risk, fresh signal",https://www.tradingview.com/chart/?symbol=ORCAUSDT,
EGLD,EGLDUSDT,Gold,1,Yes,EGLDBTC,Blue,170,No,69,A Good,235,Valid confirmed trend flip — fresh signal,https://www.tradingview.com/chart/?symbol=EGLDUSDT,https://www.tradingview.com/chart/?symbol=EGLDBTC
USUAL,USUALUSDT,Gold,1,Yes,USUALBTC,Blue,170,No,62,B Watch,771,"Valid confirmed trend flip — small-cap potential, small-cap high risk, fresh signal",https://www.tradingview.com/chart/?symbol=USUALUSDT,https://www.tradingview.com/chart/?symbol=USUALBTC
ZEN,ZENUSDT,Gold,1,Yes,ZENBTC,Blue,38,No,57,B Watch,282,Valid confirmed trend flip — fresh signal,https://www.tradingview.com/chart/?symbol=ZENUSDT,https://www.tradingview.com/chart/?symbol=ZENBTC
DIA,DIAUSDT,Gold,1,Yes,DIABTC,Blue,170,No,52,B Watch,905,"Valid confirmed trend flip — small-cap potential, small-cap high risk, fresh signal",https://www.tradingview.com/chart/?symbol=DIAUSDT,https://www.tradingview.com/chart/?symbol=DIABTC
GBP,GBPUSDT,Blue,1,Yes,,,,No,52,B Watch,,Valid confirmed trend flip — fresh signal,https://www.tradingview.com/chart/?symbol=GBPUSDT,
0G,0GUSDT,Blue,124,No,,,,No,0,D Ignore,540,"Two-color confirmation did not come immediately after Gray — small-cap potential, small-cap high risk, clean transition",https://www.tradingview.com/chart/?symbol=0GUSDT,
1000CAT,1000CATUSDT,Gold,15,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=1000CATUSDT,
1000CHEEMS,1000CHEEMSUSDT,Gold,4,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=1000CHEEMSUSDT,
1000SATS,1000SATSUSDT,Gold,8,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=1000SATSUSDT,
1INCH,1INCHUSDT,Gold,21,No,1INCHBTC,Blue,116,No,0,D Ignore,229,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=1INCHUSDT,https://www.tradingview.com/chart/?symbol=1INCHBTC
1MBABYDOGE,1MBABYDOGEUSDT,Gold,6,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=1MBABYDOGEUSDT,
2Z,2ZUSDT,Blue,81,No,,,,No,0,D Ignore,174,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=2ZUSDT,
A,AUSDT,Gray,7,No,ABTC,Blue,166,No,0,D Ignore,227,Latest two closed candles are not same Gold/Blue color — clean transition,https://www.tradingview.com/chart/?symbol=AUSDT,https://www.tradingview.com/chart/?symbol=ABTC
A2Z,A2ZUSDT,Blue,170,No,,,,No,0,D Ignore,,Two-color confirmation did not come immediately after Gray — clean transition,https://www.tradingview.com/chart/?symbol=A2ZUSDT,
AAOIB,AAOIBUSDT,Unknown,,No,,,,No,0,D Ignore,1662,Not enough candles: 48 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:AAOIBUSDT,
AAPLB,AAPLBUSDT,Unknown,,No,,,,No,0,D Ignore,1482,Not enough candles: 34 — not eligible for AI research,https://www.tradingview.com/chart/?symbol=BINANCE:AAPLBUSDT,
