created_at,updated_at,symbol,asset_type,signal_label,signal_score_band,confidence_band,public_watch_tier,observation_bucket,status,return_1d,return_3d,return_7d,return_14d,max_favorable_excursion,max_adverse_excursion
2026-06-06 03:30:03,2026-06-06 03:30:33,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,4.62,-0.72
2026-06-06 03:30:03,2026-06-06 03:30:33,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,3.16,-0.23
2026-06-06 03:30:03,2026-06-06 03:30:34,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,,,,,3.0,-0.5
2026-06-06 03:30:02,2026-06-06 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-06 03:30:02,2026-06-06 03:30:32,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,,,,,4.81,0.0
2026-06-06 03:30:02,2026-06-06 03:30:33,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,2.23,-0.22
2026-06-06 03:30:02,2026-06-06 03:30:33,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,,,,,2.29,-0.13
2026-06-05 03:30:04,2026-06-06 03:30:31,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-7.07,,,,4.14,-9.93
2026-06-05 03:30:04,2026-06-06 03:30:32,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,-11.5,,,,4.42,-13.72
2026-06-05 03:30:03,2026-06-06 03:30:30,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-9.23,,,,4.88,-10.98
2026-06-05 03:30:03,2026-06-06 03:30:30,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-9.51,,,,2.56,-11.01
2026-06-05 03:30:03,2026-06-06 03:30:31,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-9.46,,,,2.71,-10.91
2026-06-05 03:30:03,2026-06-06 03:30:31,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-7.33,,,,4.0,-12.94
2026-06-05 03:30:02,2026-06-05 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-04 03:30:04,2026-06-06 03:30:29,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-22.32,,,,1.61,-28.09
2026-06-04 03:30:04,2026-06-06 03:30:29,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-13.29,,,,5.26,-17.04
2026-06-04 03:30:04,2026-06-06 03:30:30,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,-18.47,,,,6.43,-21.69
2026-06-04 03:30:03,2026-06-06 03:30:28,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-16.19,,,,6.92,-19.65
2026-06-04 03:30:03,2026-06-06 03:30:29,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-11.76,,,,1.45,-14.17
2026-06-04 03:30:03,2026-06-06 03:30:29,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-11.88,,,,1.55,-14.27
2026-06-04 03:30:02,2026-06-04 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-03 03:30:04,2026-06-06 03:30:27,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-6.26,-16.06,,,5.81,-18.65
2026-06-03 03:30:04,2026-06-06 03:30:28,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,-10.98,-24.24,,,3.79,-26.14
2026-06-03 03:30:03,2026-06-06 03:30:27,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-4.0,-15.11,,,2.83,-16.47
2026-06-03 03:30:03,2026-06-06 03:30:27,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-14.29,-22.91,,,8.23,-27.58
2026-06-03 03:30:02,2026-06-03 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-03 03:30:02,2026-06-06 03:30:26,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-9.38,-21.18,,,5.14,-22.69
2026-06-03 03:30:02,2026-06-06 03:30:27,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-3.99,-15.06,,,2.64,-16.49
2026-06-02 03:30:03,2026-06-06 03:30:25,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-9.3,-20.89,,,0.35,-23.04
2026-06-02 03:30:03,2026-06-06 03:30:25,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-7.03,-27.66,,,3.7,-33.04
2026-06-02 03:30:03,2026-06-06 03:30:26,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-6.51,-22.01,,,1.78,-25.38
2026-06-02 03:30:03,2026-06-06 03:30:26,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,-5.73,-27.24,,,3.94,-30.11
2026-06-02 03:30:02,2026-06-02 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-02 03:30:02,2026-06-06 03:30:25,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-6.66,-26.07,,,0.83,-29.13
2026-06-02 03:30:02,2026-06-06 03:30:25,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-9.41,-20.88,,,0.27,-23.04
2026-06-01 03:30:03,2026-06-06 03:30:23,WBETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-7.76,-12.26,,,0.22,-23.66
2026-06-01 03:30:03,2026-06-06 03:30:24,FETUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-14.37,-23.33,,,2.27,-35.22
2026-06-01 03:30:03,2026-06-06 03:30:24,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-7.14,-13.51,,,2.38,-24.94
2026-06-01 03:30:03,2026-06-06 03:30:24,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,0.74,-13.28,,,7.38,-28.04
2026-06-01 03:30:02,2026-06-01 03:30:02,GBPUSDT,crypto,fresh_transition_watch,medium_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,,,,,,
2026-06-01 03:30:02,2026-06-06 03:30:23,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,-11.64,-18.94,,,1.49,-30.85
2026-06-01 03:30:02,2026-06-06 03:30:23,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-7.71,-12.13,,,0.31,-23.57
2026-05-31 03:30:03,2026-06-06 03:30:22,WOOUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,1.79,-5.95,,,2.38,-24.94
2026-05-31 03:30:03,2026-06-06 03:30:22,LQTYUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,weak_signal_watch,open,11.63,1.94,,,12.79,-24.42
2026-05-31 03:30:02,2026-06-06 03:30:21,PIXELUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_d,low_priority_watch,open,4.76,-2.89,,,9.52,-26.26
2026-05-31 03:30:02,2026-06-06 03:30:21,ETHUSDT,crypto,young_trend_watch,lower_model_score_band,medium_confidence_band,watch_tier_c,low_priority_watch,open,-1.45,-10.96,,,0.09,-24.36
